(62): {'reflection': 4.676480200002423, 'contraction': -0.9389011095194031, 'expansion': -2.5772826360261414}
(63): {'reflection': 1.738411446942929, 'contraction': -1.160058157041591, 'expansion': -2.3681602822504155}
(64): {'reflection': 4.958457783124575, 'contraction': -0.13829784057148664, 'expansion': -4.999193997762371}
(65): {'reflection': 2.0657603855672995, 'contraction': -1.3961884968558858, 'expansion': -3.0908366366928948}
(66): {'reflection': 4.127846874564888, 'contraction': -0.6705712723196342, 'expansion': -3.300272970068814}
(67): {'reflection': 4.141532906518353, 'contraction': -0.5128023150409453, 'expansion': -3.3766324476493343}
(68): {'reflection': 4.581957043058941, 'contraction': -0.6796996470429313, 'expansion': -3.2184140205161604}
(69): {'reflection': 4.360118111286841, 'contraction': -0.893682871589491, 'expansion': -2.770643527760233}
(70): {'reflection': 4.657312902234004, 'contraction': -0.748638577517637, 'expansion': -2.9473417798840202}
(71): {'reflection': 4.504627730985342, 'contraction': -0.36003859155171003, 'expansion': -3.250521443548295}
(72): {'reflection': 3.9896937473790213, 'contraction': -0.66356280179675, 'expansion': -3.070581078164641}
(73): {'reflection': 4.216354810907662, 'contraction': -0.16483672870193766, 'expansion': -3.5020074539524373}
(74): {'reflection': 4.96659232917992, 'contraction': -0.024403158537738417, 'expansion': -1.7004497671899932}
(75): {'reflection': 4.493189744027539, 'contraction': -1.1186525716636426, 'expansion': -3.6849525687315854}
(76): {'reflection': 4.5898528151805635, 'contraction': -1.746131272370587, 'expansion': -3.2879075783765916}
(77): {'reflection': 4.798672203771615, 'contraction': -0.2989605263615086, 'expansion': -2.42002818732546}
(78): {'reflection': 2.831269808845265, 'contraction': -0.4983134194928505, 'expansion': -2.588754979822227}
(79): {'reflection': 3.4973645141972622, 'contraction': -0.7173817269056288, 'expansion': -3.4198512246444395}
(80): {'reflection': 3.7576016689476903, 'contraction': -0.8745927171458303, 'expansion': -2.1289048392099836}
(81): {'reflection': 3.985118014121622, 'contraction': -1.4740625912126046, 'expansion': -3.86980263085652}
(82): {'reflection': 3.2106640454143434, 'contraction': -0.9911059601692968, 'expansion': -4.162612119820855}
(83): {'reflection': 3.0747250888276203, 'contraction': -0.6327345106238229, 'expansion': -3.134588977392364}
(84): {'reflection': 1.3529808082013655, 'contraction': -0.42462429651209416, 'expansion': -4.05286866236224}
(85): {'reflection': 0.9920764017064874, 'contraction': -0.46052588939193706, 'expansion': -4.624348858242337}
(86): {'reflection': 1.385430509051049, 'contraction': -0.7985473648129278, 'expansion': -2.8650089470210416}
(87): {'reflection': 1.1716303788472282, 'contraction': -3.516877426502945, 'expansion': -2.735228279493323}
(88): {'reflection': 0.4845153276482097, 'contraction': -4.2532847540328635, 'expansion': -2.7515946282326462}
(89): {'reflection': 1.6230052805710793, 'contraction': -3.533885169465075, 'expansion': -2.276701872079345}
(90): {'reflection': 2.298418630266676, 'contraction': -2.6532979212080283, 'expansion': -3.0518393985486476}
(91): {'reflection': 1.2329395771893736, 'contraction': -0.31105394688580906, 'expansion': -2.6317333005414674}
(92): {'reflection': 1.0730682382588603, 'contraction': -4.741747978428823, 'expansion': -2.9571216937795164}
(93): {'reflection': 1.4922876449290425, 'contraction': -0.5719585357467302, 'expansion': -2.4545919480490297}
(94): {'reflection': 1.3637927761527944, 'contraction': -3.133620771582554, 'expansion': -4.324346095446798}
(95): {'reflection': 1.8850912994515712, 'contraction': -0.3904146158418087, 'expansion': -1.913768465146529}
(96): {'reflection': 1.978733617670227, 'contraction': -0.10906172421160004, 'expansion': -1.4149008556171108}
(97): {'reflection': 1.8066961716078476, 'contraction': -0.21552547848175352, 'expansion': -1.9683253681320385}
(98): {'reflection': 2.1788071369253834, 'contraction': -3.777387087113296, 'expansion': -2.7054739059462567}
(99): {'reflection': 0.6870722102364312, 'contraction': -3.5884777725370385, 'expansion': -1.878758623260412}
------
(BEST): {'reflection': 4.127846874564888, 'contraction': -0.6705712723196342, 'expansion': -3.300272970068814}
