№ задачи;Последовательный;2 потока;4 потока;8 потоков;16 потоков
1;1.6113333333333333;0.9193333333333333;0.583;0.47433333333333333;0.35733333333333334
2;11.785333333333334;6.145333333333333;3.607333333333333;2.402333333333333;2.1460000000000004
3;13.199;6.844666666666668;3.9136666666666664;2.737;2.228333333333333
4;10.262333333333334;5.449666666666666;3.046666666666667;2.138666666666667;1.8353333333333335
5;45.242999999999995;21.595333333333333;12.946;8.877333333333333;7.384333333333334
6;205.0583333333333;106.80566666666668;60.11833333333334;40.88166666666666;39.978
7;803.1653333333334;378.628;225.19299999999998;151.407;153.01266666666666
8;3392.9966666666674;1863.1816666666666;1615.4686666666666;1415.834;1158.3876666666665
